country,id,notam_id,fir,from_utc,to_utc,lat,lon,radius_nm,qcode,raw,polygon
Maritime,,HYDROPAC 2078/26,MSI,2026-07-20T01:43:00Z,2026-07-30T03:59:00Z,-22.643678,78.576437,,,"200143Z JUL 26  HYDROPAC 2078/26.  INDIAN OCEAN.  1. HAZARDOUS OPERATIONS, SPACE DEBRIS     232334Z TO 240259Z JUL, ALTERNATE     2334Z TO 0259Z DAILY 24 THRU 29 JUL,     IN AREA BOUND BY     17-39.00S 095-00.00E, 16-13.00S 100-20.00E,     15-17.00S 104-38.00E, 16-31.00S 109-42.00E,     17-14.00S 110-00.00E, 18-19.00S 107-08.00E,     18-20.00S 102-57.00E, 19-46.00S 099-12.00E,     21-01.00S 094-56.00E, 22-36.00S 089-30.00E,     24-01.00S 083-24.00E, 24-47.00S 079-30.00E,     25-45.00S 073-04.00E, 26-51.00S 060-54.00E,     26-51.00S 058-44.00E, 26-45.00S 056-22.00E,     26-53.00S 050-55.00E, 26-45.00S 050-13.00E,     26-37.00S 050-12.00E, 26-33.00S 050-30.00E,     26-23.00S 054-00.00E, 26-19.00S 056-16.00E,     25-49.00S 062-20.00E, 25-19.00S 066-06.00E,     24-07.00S 072-42.00E, 22-51.00S 078-26.00E,     21-39.00S 082-58.00E, 20-18.00S 087-40.00E,     19-11.00S 091-04.00E.  2. CANCEL HYDROPAC 2046/26.  3. CANCEL THIS MSG 300359Z JUL 26.","[[[-17.65, 95.0], [-16.216667, 100.333333], [-15.283333, 104.633333], [-16.516667, 109.7], [-17.233333, 110.0], [-18.316667, 107.133333], [-18.333333, 102.95], [-19.766667, 99.2], [-21.016667, 94.933333], [-22.6, 89.5], [-24.016667, 83.4], [-24.783333, 79.5], [-25.75, 73.066667], [-26.85, 60.9], [-26.85, 58.733333], [-26.75, 56.366667], [-26.883333, 50.916667], [-26.75, 50.216667], [-26.616667, 50.2], [-26.55, 50.5], [-26.383333, 54.0], [-26.316667, 56.266667], [-25.816667, 62.333333], [-25.316667, 66.1], [-24.116667, 72.7], [-22.85, 78.433333], [-21.65, 82.966667], [-20.3, 87.666667], [-19.183333, 91.066667]]]"
Maritime,,HYDROPAC 2074/26,MSI,2026-07-16T15:50:00Z,2026-07-30T23:59:00Z,-42.666667,-160.2,,,"161550Z JUL 26  HYDROPAC 2074/26.  SOUTH PACIFIC.  1. HAZARDOUS OPERATIONS, SPACE DEBRIS     1543Z TO 2029Z DAILY 24 THRU 30 JUL     IN AREA BOUND BY     25-23.00S 156-56.00W, 26-03.00S 153-24.00W,     43-04.00S 157-03.00W, 59-49.00S 163-34.00W,     59-13.00S 168-58.00W, 42-28.00S 161-17.00W.  2. CANCEL THIS MSG 302129Z JUL 26.","[[[-25.383333, -156.933333], [-26.05, -153.4], [-43.066667, -157.05], [-59.816667, -163.566667], [-59.216667, -168.966667], [-42.466667, -161.283333]]]"
Maritime,,HYDROPAC 2045/26,MSI,2026-07-14T08:21:00Z,2026-07-28T23:59:00Z,8.58,-33.363333,,,"140821Z JUL 26  HYDROPAC 2045/26.  NORTH PACIFIC.  1. HAZARDOUS OPERATIONS, SPACE DEBRIS     0900Z TO 1334Z DAILY 22 THRU 28 JUL     IN AREAS BOUND BY:     A. 14-00.00N 176-49.00E, 12-40.00N 180-00.00E,        07-15.00N 180-00.00E, 09-34.00N 174-40.00E.     B. 12-40.00N 180-00.00W, 09-57.00N 174-28.00W,        05-42.00N 165-57.00W, 01-16.00N 168-04.00W,        05-29.00N 176-38.00W, 07-15.00N 180-00.00W.  2. CANCEL THIS MSG 281434Z JUL 26.","[[[14.0, 176.816667], [12.666667, 180.0], [7.25, 180.0], [9.566667, 174.666667]], [[12.666667, -180.0], [9.95, -174.466667], [5.7, -165.95], [1.266667, -168.066667], [5.483333, -176.633333], [7.25, -180.0]]]"
Maritime,,NAVAREA IV 694/26,MSI,2026-07-17T10:16:00Z,2026-07-26T01:56:00Z,23.951491,-91.219522,,,"171016Z JUL 26  NAVAREA IV 694/26.  GULF OF AMERICA.  YUCATAN CHANNEL.  MEXICO.  1. HAZARDOUS OPERATIONS, ROCKET LAUNCHING      202245Z TO 210056Z JUL, ALTERNATE     2245Z TO 0056Z DAILY 21 THRU 25 JUL     IN AREAS BOUND BY:     A. 23-26.00N 091-10.00W, 23-18.00N 091-45.00W,        24-06.00N 094-21.00W, 25-38.00N 096-49.00W,        25-48.00N 097-05.00W, 25-58.00N 097-13.00W,        26-02.00N 097-13.00W, 26-04.00N 097-10.00W,        26-04.00N 097-04.00W, 26-05.00N 096-52.00W,        26-05.00N 096-28.00W, 26-01.00N 095-12.00W,        25-45.00N 095-04.00W, 25-44.00N 094-08.00W,        25-35.00N 093-14.00W, 25-37.00N 091-58.00W,        24-29.00N 090-54.00W, 24-06.00N 089-58.00W,        22-21.00N 086-21.00W, 21-34.00N 085-04.00W,        21-04.00N 082-37.00W, 20-48.00N 081-43.00W,        20-10.00N 080-01.00W, 19-19.00N 077-54.00W,        19-05.00N 077-36.00W, 19-07.00N 078-04.00W,        19-29.00N 079-08.00W, 19-45.00N 079-44.00W,        20-18.00N 081-13.00W, 20-34.00N 083-16.00W,        21-16.00N 085-35.00W, 21-43.00N 086-42.00W,        22-16.00N 088-32.00W, 22-30.00N 088-38.00W,        23-26.00N 091-10.00W.     B. 25-40.49N 096-46.48W, 25-48.00N 097-05.00W,        25-58.00N 097-13.00W, 26-02.00N 097-13.00W,        26-04.00N 097-10.00W, 26-04.00N 097-04.00W,        26-05.00N 096-52.00W, 26-02.49N 096-34.49W,        25-41.50N 095-24.24W, 25-36.19N 094-39.15W,        25-30.39N 093-52.27W, 25-11.41N 092-57.51W,        24-51.30N 092-51.25W, 24-29.45N 092-59.48W,        24-25.18N 093-23.45W, 24-39.30N 094-07.02W,        25-00.55N 094-43.26W, 25-40.49N 096-46.48W.  2. CANCEL NAVAREA IV 679/26.  3. CANCEL THIS MSG 260156Z JUL 26.","[[[23.433333, -91.166667], [23.3, -91.75], [24.1, -94.35], [25.633333, -96.816667], [25.8, -97.083333], [25.966667, -97.216667], [26.033333, -97.216667], [26.066667, -97.166667], [26.066667, -97.066667], [26.083333, -96.866667], [26.083333, -96.466667], [26.016667, -95.2], [25.75, -95.066667], [25.733333, -94.133333], [25.583333, -93.233333], [25.616667, -91.966667], [24.483333, -90.9], [24.1, -89.966667], [22.35, -86.35], [21.566667, -85.066667], [21.066667, -82.616667], [20.8, -81.716667], [20.166667, -80.016667], [19.316667, -77.9], [19.083333, -77.6], [19.116667, -78.066667], [19.483333, -79.133333], [19.75, -79.733333], [20.3, -81.216667], [20.566667, -83.266667], [21.266667, -85.583333], [21.716667, -86.7], [22.266667, -88.533333], [22.5, -88.633333], [23.433333, -91.166667]], [[25.674833, -96.774667], [25.8, -97.083333], [25.966667, -97.216667], [26.033333, -97.216667], [26.066667, -97.166667], [26.066667, -97.066667], [26.083333, -96.866667], [26.0415, -96.574833], [25.691667, -95.404], [25.603167, -94.6525], [25.5065, -93.871167], [25.190167, -92.9585], [24.855, -92.854167], [24.490833, -92.991333], [24.419667, -93.390833], [24.655, -94.117], [25.009167, -94.721], [25.674833, -96.774667]]]"
Maritime,,NAVAREA XII 482/26,MSI,2026-07-10T22:37:00Z,2029-07-24T23:59:00Z,30.878788,-121.415152,,,"102237Z JUL 26  NAVAREA XII 482/26  NORTH PACIFIC.  CALIFORNIA.  1. HAZARDOUS OPERATIONS, ROCKET LAUNCHING:     A. 181400Z TO 181825Z JUL, ALTERNATE        1400Z TO 1825Z DAILY 19 THRU 24 JUL        IN AREA BOUND BY:        34-29.00N 120-29.00W, 34-40.00N 120-37.00W,        34-38.00N 120-42.00W, 33-49.00N 120-55.00W,        29-13.00N 121-56.00W, 29-13.00N 121-36.00W.     B. 181400Z TO 181843Z JUL, ALTERNATE        1400Z TO 1843Z DAILY 19 THRU 24 JUL        29-13.00N 121-31.00W, 29-13.00N 122-03.00W,        28-49.00N 122-14.00W, 27-41.00N 122-06.00W,        28-42.00N 121-25.00W.  2. CANCEL THIS MSG 241943Z JUL 26.","[[[34.483333, -120.483333], [34.666667, -120.616667], [34.633333, -120.7], [33.816667, -120.916667], [29.216667, -121.933333], [29.216667, -121.6]], [[29.216667, -121.516667], [29.216667, -122.05], [28.816667, -122.233333], [27.683333, -122.1], [28.7, -121.416667]]]"
Maritime,,NAVAREA XII 476/26,MSI,2026-07-11T03:05:00Z,2026-07-22T21:42:00Z,30.799074,-119.892593,,,"110305Z JUL 26  NAVAREA XII 476/26.  NORTH PACIFIC.  CALIFORNIA.  1. HAZARDOUS OPERATIONS, ROCKET LAUNCHING:      A. 162022Z TO 162107Z JUL, ALTERNATE        172015Z TO 172100Z, 182007Z TO 182052Z,         192000Z TO 192045Z, 201952Z TO 202037Z,         211945Z TO 212030Z AND         221937Z TO 222022Z JUL IN AREA BOUND BY        34-31.00N 120-29.00W, 33-23.00N 120-15.00W,        32-14.00N 120-06.00W, 32-19.00N 120-15.00W,        33-19.00N 120-24.00W, 34-18.00N 120-39.00W,        34-39.00N 120-39.00W, 34-40.00N 120-37.00W.     B. 162022Z TO 162109Z JUL, ALTERNATE        172015Z TO 172102Z, 182007Z TO 182054Z,         192000Z TO 192047Z, 201952Z TO 202039Z,         211945Z TO 212032Z AND         221937Z TO 222024Z JUL IN AREA BOUND BY        28-21.00N 119-37.00W, 29-17.00N 119-51.00W,        29-46.00N 119-44.00W, 29-18.00N 119-29.00W,        28-24.00N 119-28.00W.     C. 162022Z TO 162127Z JUL, ALTERNATE        172015Z TO 172120Z, 182007Z TO 182112Z,         192000Z TO 192105Z, 201952Z TO 202057Z,         211945Z TO 212050Z AND         221937Z TO 222042Z JUL IN AREA BOUND BY        28-17.00N 119-40.00W, 28-27.00N 119-10.00W,        28-03.00N 118-50.00W, 27-30.00N 119-09.00W,        27-37.00N 119-42.00W.  2. CANCEL THIS MSG 222142Z JUL 26.","[[[34.516667, -120.483333], [33.383333, -120.25], [32.233333, -120.1], [32.316667, -120.25], [33.316667, -120.4], [34.3, -120.65], [34.65, -120.65], [34.666667, -120.616667]], [[28.35, -119.616667], [29.283333, -119.85], [29.766667, -119.733333], [29.3, -119.483333], [28.4, -119.466667]], [[28.283333, -119.666667], [28.45, -119.166667], [28.05, -118.833333], [27.5, -119.15], [27.616667, -119.7]]]"
Maritime,,HYDROPAC 2046/26,MSI,2026-07-17T08:11:00Z,2026-07-26T03:59:00Z,-22.643678,78.576437,,,"170811Z JUL 26  HYDROPAC 2046/26  INDIAN OCEAN.  1. HAZARDOUS OPERATIONS, SPACE DEBRIS     202334Z TO 210259Z JUL, ALTERNATE     2334Z TO 0259Z DAILY 21 THRU 25 JUL,     IN AREA BOUND BY     17-39.00S 095-00.00E, 16-13.00S 100-20.00E,     15-17.00S 104-38.00E, 16-31.00S 109-42.00E,     17-14.00S 110-00.00E, 18-19.00S 107-08.00E,     18-20.00S 102-57.00E, 19-46.00S 099-12.00E,     21-01.00S 094-56.00E, 22-36.00S 089-30.00E,     24-01.00S 083-24.00E, 24-47.00S 079-30.00E,     25-45.00S 073-04.00E, 26-51.00S 060-54.00E,     26-51.00S 058-44.00E, 26-45.00S 056-22.00E,     26-53.00S 050-55.00E, 26-45.00S 050-13.00E,     26-37.00S 050-12.00E, 26-33.00S 050-30.00E,     26-23.00S 054-00.00E, 26-19.00S 056-16.00E,     25-49.00S 062-20.00E, 25-19.00S 066-06.00E,     24-07.00S 072-42.00E, 22-51.00S 078-26.00E,     21-39.00S 082-58.00E, 20-18.00S 087-40.00E,     19-11.00S 091-04.00E.  2. CANCEL HYDROPAC 1990/26.  3. CANCEL THIS MSG 260359Z JUL 26.","[[[-17.65, 95.0], [-16.216667, 100.333333], [-15.283333, 104.633333], [-16.516667, 109.7], [-17.233333, 110.0], [-18.316667, 107.133333], [-18.333333, 102.95], [-19.766667, 99.2], [-21.016667, 94.933333], [-22.6, 89.5], [-24.016667, 83.4], [-24.783333, 79.5], [-25.75, 73.066667], [-26.85, 60.9], [-26.85, 58.733333], [-26.75, 56.366667], [-26.883333, 50.916667], [-26.75, 50.216667], [-26.616667, 50.2], [-26.55, 50.5], [-26.383333, 54.0], [-26.316667, 56.266667], [-25.816667, 62.333333], [-25.316667, 66.1], [-24.116667, 72.7], [-22.85, 78.433333], [-21.65, 82.966667], [-20.3, 87.666667], [-19.183333, 91.066667]]]"
Maritime,,HYDROPAC 2006/26,MSI,2026-07-13T14:56:00Z,2026-07-24T00:01:00Z,25.904708,52.727542,,,131456Z JUL 26  HYDROPAC 2006/26.  PERSIAN GULF.  QATAR.  1. SURVEY AND DEBRIS REMOVAL OPERATIONS     14 THRU 23 JUL BY VESSEL HALUL 49 IN:      A. 25-56.54N 052-41.48E.     B. 25-53.28N 052-43.65E.     C. 25-55.14N 052-42.71E.     D. 25-52.17N 052-46.77E.     WIDE BERTH REQUESTED.  2. CANCEL THIS MSG 240001Z JUL 26.,"[[[25.942333, 52.691333]], [[25.888, 52.7275]], [[25.919, 52.711833]], [[25.8695, 52.7795]]]"
Maritime,,HYDROPAC 1998/26,MSI,2026-07-13T08:11:00Z,2026-07-22T23:54:00Z,-48.825,19.375,,,"130811Z JUL 26  HYDROPAC 1998/26.  INDIAN OCEAN.  SOUTH ATLANTIC  1. HAZARDOUS OPERATIONS, SPACE DEBRIS     162244Z TO 162339Z, 172237Z TO 172332Z,      182229Z TO 182324Z, 192222Z TO 192317Z,      202214Z TO 202309Z, 212207Z TO 212302Z      AND 222159Z TO 222254Z JUL     IN AREA BOUND BY     38-18.00S 018-00.00E, 38-00.00S 027-00.00E,     60-00.00S 022-30.00E, 59-00.00S 010-00.00E.  2. CANCEL HYDROPAC 1986/26.  3. CANCEL THIS MSG 222354Z JUL 26.","[[[-38.3, 18.0], [-38.0, 27.0], [-60.0, 22.5], [-59.0, 10.0]]]"
Maritime,,HYDROPAC 1994/26,MSI,2026-07-10T22:59:00Z,2026-07-24T23:59:00Z,-42.666667,-160.2,,,"102259Z JUL 26  HYDROPAC 1994/26  SOUTH PACIFIC.  1. HAZARDOUS OPERATIONS, SPACE DEBRIS     1543Z TO 2029Z DAILY 18 THRU 24 JUL     IN AREA BOUND BY     25-23.00S 156-56.00W, 26-03.00S 153-24.00W,     43-04.00S 157-03.00W, 59-49.00S 163-34.00W,     59-13.00S 168-58.00W, 42-28.00S 161-17.00W.  2. CANCEL THIS MSG 242129Z JUL 26.","[[[-25.383333, -156.933333], [-26.05, -153.4], [-43.066667, -157.05], [-59.816667, -163.566667], [-59.216667, -168.966667], [-42.466667, -161.283333]]]"
Maritime,,HYDROARC 135/26,MSI,2026-07-15T00:28:00Z,2026-07-23T23:00:00Z,70.355905,32.269619,,,"150028Z JUL 26  HYDROARC 135/26.  BARENTS SEA.  RUSSIA.  1. HAZARDOUS OPERATIONS, ROCKET LAUNCHING      IN PROGRESS UNTIL 182100Z AND     192100Z TO 232100Z JUL IN AREA BOUND BY     70-56.00N 032-04.97E, 70-10.00N 033-40.00E,     69-54.00N 032-40.00E, 70-08.00N 032-04.97E,     70-15.00N 031-50.00E, 70-30.11N 031-50.00E,     70-36.37N 031-43.30E.  2. CANCEL THIS MSG 232300Z JUL 26.","[[[70.933333, 32.082833], [70.166667, 33.666667], [69.9, 32.666667], [70.133333, 32.082833], [70.25, 31.833333], [70.501833, 31.833333], [70.606167, 31.721667]]]"
